continent,title,winery,country,points,price
Africa,De Toren 2014 Book 17 XVII Red (Stellenbosch),De Toren,South Africa,95,330.0
Africa,Vilafonté 2012 Series C Red (Paarl),Vilafonté,South Africa,94,95.0
Africa,Ernie Els 2004 Limited Release Red (Stellenbosch),Ernie Els,South Africa,94,93.0
Asia,Domaine du Castel 2012 Grand Vin Red (Judean Hills),Domaine du Castel,Israel,93,80.0
Asia,Shiloh Winery 2010 Legend Red (Judean Hills),Shiloh Winery,Israel,93,40.0
Asia,Jezreel 2014 Adumim Dry Red (Israel),Jezreel,Israel,93,30.0
Europe,Biondi Santi 2010 Riserva  (Brunello di Montalcino),Biondi Santi,Italy,100,550.0
Europe,Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),Tenuta dell'Ornellaia,Italy,100,460.0
Europe,Casa Ferreirinha 2008 Barca-Velha Red (Douro),Casa Ferreirinha,Portugal,100,450.0
North America,Cardinale 2006 Cabernet Sauvignon (Napa Valley),Cardinale,US,100,200.0
North America,Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),Quilceda Creek,US,99,125.0
North America,Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Williams Selyem,US,99,94.0
Oceania,Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Chambers Rosewood Vineyards,Australia,100,350.0
Oceania,Penfolds 2010 Grange Shiraz (South Australia),Penfolds,Australia,99,850.0
Oceania,Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Chambers Rosewood Vineyards,Australia,98,350.0
Other,Sula 2011 Dindori Reserve Shiraz (Nashik),Sula,India,93,20.0
Other,Kavaklidere 2010 Pendore Syrah (Aegean),Kavaklidere,Turkey,92,38.0
Other,Alaverdi Monastery Cellar 2010 Qvevri Traditional Kakhuri Dry Unfiltered Amber Wine Rkatsiteli (Kakheti),Alaverdi Monastery Cellar,Georgia,92,25.0
South America,Pascual Toso 2014 Finca Pedregal Single Vineyard Barrancas Maipú Selected Lots Cabernet Sauvignon-Malbec (Mendoza),Pascual Toso,Argentina,95,74.0
South America,Finca Perdriel 2007 Vineyard Selection Red (Mendoza),Finca Perdriel,Argentina,95,62.0
South America,Achaval-Ferrer 2014 Finca Bella Vista Malbec (Mendoza),Achaval-Ferrer,Argentina,94,140.0
Unknown,Neumeister 2015 Steintal Roter Traminer,Neumeister,,92,38.0
Unknown,Tsililis 2015 Theopetra Malagouzia-Assyrtiko White,Tsililis,,92,28.0
Unknown,Newton Johnson 2016 Cape Winemakers Guild Windansea Pinot Noir,Newton Johnson,,92,
